kind,series,series_label,panel,tM,tK,tN,context_tokens,block_size,x_order,x_label,bw_util_pct
attention,64ch,64 Channels,64K Tokens,,,,65536,32,5,32,62.82440000000001
attention,64ch,64 Channels,16K Tokens,,,,16384,64,6,64,64.26379999999999
attention,64ch,64 Channels,32K Tokens,,,,32768,64,6,64,61.211400000000005
attention,64ch,64 Channels,64K Tokens,,,,65536,64,6,64,67.6845
attention,64ch,64 Channels,16K Tokens,,,,16384,128,7,128,66.97149999999999
attention,64ch,64 Channels,32K Tokens,,,,32768,128,7,128,65.14170000000001
attention,64ch,64 Channels,64K Tokens,,,,65536,128,7,128,69.15690000000001
attention,64ch,64 Channels,16K Tokens,,,,16384,256,8,256,76.66190000000002
attention,64ch,64 Channels,32K Tokens,,,,32768,256,8,256,76.05060000000002
attention,64ch,64 Channels,64K Tokens,,,,65536,256,8,256,77.5976
attention,64ch,64 Channels,16K Tokens,,,,16384,512,9,512,84.8465
attention,64ch,64 Channels,32K Tokens,,,,32768,512,9,512,84.09829999999998
attention,64ch,64 Channels,64K Tokens,,,,65536,512,9,512,84.8465
