design,workload,B,ctx,step_ms,tps_user,aggregate_tps,dram_util,mat_util,noc_util,fits,method
tensix_M,qwen3_30b_a3b,4,8192,1.0427,959.0,3836.0,0.743,0.092,,True,analytical
tensix_M,qwen3_30b_a3b,4,32768,1.7791,562.0,2248.0,0.767,0.137,,True,analytical
tensix_M,qwen3_30b_a3b,4,131072,4.7245,212.0,847.0,0.788,0.177,,True,analytical
pulp_default_L,qwen3_30b_a3b,1,8192,1.1019,908.0,908.0,0.192,0.619,,True,analytical
pulp_default_L,qwen3_30b_a3b,1,32768,2.8597,350.0,350.0,0.108,0.607,,True,analytical
pulp_default_L,qwen3_30b_a3b,1,131072,9.8912,101.0,101.0,0.071,0.602,,True,analytical
pulp_default_L,qwen3_30b_a3b,2,8192,2.0729,482.0,965.0,0.153,0.658,,True,analytical
pulp_default_L,qwen3_30b_a3b,2,32768,5.5887,179.0,358.0,0.092,0.621,,True,analytical
pulp_default_L,qwen3_30b_a3b,2,131072,19.6516,51.0,102.0,0.066,0.606,,True,analytical
pulp_default_L,qwen3_30b_a3b,4,8192,3.973,252.0,1007.0,0.13,0.686,,True,analytical
pulp_default_L,qwen3_30b_a3b,4,32768,11.0044,91.0,363.0,0.083,0.631,,True,analytical
pulp_default_L,qwen3_30b_a3b,4,131072,39.1303,26.0,102.0,0.063,0.609,,True,analytical
pulp_scaled_L,qwen3_30b_a3b,1,8192,0.3535,2829.0,2829.0,0.597,0.181,,True,analytical
pulp_scaled_L,qwen3_30b_a3b,1,32768,0.5183,1929.0,1929.0,0.597,0.314,,True,analytical
pulp_scaled_L,qwen3_30b_a3b,1,131072,1.1775,849.0,849.0,0.597,0.474,,True,analytical
pulp_scaled_L,qwen3_30b_a3b,2,8192,0.5001,2000.0,3999.0,0.635,0.256,,True,analytical
pulp_scaled_L,qwen3_30b_a3b,2,32768,0.8297,1205.0,2411.0,0.62,0.392,,True,analytical
pulp_scaled_L,qwen3_30b_a3b,2,131072,2.1481,466.0,931.0,0.605,0.52,,True,analytical
pulp_scaled_L,qwen3_30b_a3b,4,8192,0.7765,1288.0,5151.0,0.665,0.329,,True,analytical
pulp_scaled_L,qwen3_30b_a3b,4,32768,1.4357,697.0,2786.0,0.634,0.454,,True,analytical
pulp_scaled_L,qwen3_30b_a3b,4,131072,4.0725,246.0,982.0,0.61,0.548,,True,analytical
tensix_L,qwen3_30b_a3b,1,8192,0.3395,2946.0,2946.0,0.622,0.047,,True,analytical
tensix_L,qwen3_30b_a3b,1,32768,0.4622,2164.0,2164.0,0.67,0.088,,True,analytical
tensix_L,qwen3_30b_a3b,1,131072,0.9531,1049.0,1049.0,0.737,0.146,,True,analytical
tensix_L,qwen3_30b_a3b,2,8192,0.4721,2118.0,4237.0,0.672,0.068,,True,analytical
tensix_L,qwen3_30b_a3b,2,32768,0.7175,1394.0,2787.0,0.716,0.113,,True,analytical
tensix_L,qwen3_30b_a3b,2,131072,1.6993,588.0,1177.0,0.765,0.164,,True,analytical
tensix_L,qwen3_30b_a3b,4,8192,0.7204,1388.0,5552.0,0.717,0.089,,True,analytical
tensix_L,qwen3_30b_a3b,4,32768,1.2113,826.0,3302.0,0.751,0.134,,True,analytical
tensix_L,qwen3_30b_a3b,4,131072,3.175,315.0,1260.0,0.782,0.176,,True,analytical
pulp_default_S,v4flash_kvfrac1.0,1,8192,7.6099,131.0,131.0,0.36,0.632,,False,analytical
pulp_default_S,v4flash_kvfrac1.0,1,32768,10.0583,99.0,99.0,0.273,0.521,,False,analytical
pulp_default_S,v4flash_kvfrac1.0,1,131072,19.852,50.0,50.0,0.139,0.35,,False,analytical
pulp_default_S,v4flash_kvfrac1.0,2,8192,13.7865,73.0,145.0,0.259,0.698,,False,analytical
pulp_default_S,v4flash_kvfrac1.0,2,32768,18.6833,54.0,107.0,0.191,0.561,,False,analytical
pulp_default_S,v4flash_kvfrac1.0,2,131072,38.2706,26.0,52.0,0.094,0.363,,False,analytical
